course_name,describe
шахматы (6+),"Изучаем шахматные фигуры, их расположение на шахматной доске, ходы этих фигур, а также как начинать партию, что делать после дебюта и как анализировать шахматную партию, как использовать материальный перевес, поставить мат и многое другое."
ЗАНИМАТЕЛЬНОЕ ПРОГРАММИРОВАНИЕ НА KODU GAME LAB (7+),"Знакомимся с конструктором компьютерных игр Kodu Game Lab, с помощью которого изучим основы визуального программирования на примере создания собственных компьютерных 3D-игр."
Легкий старт в мир компьютера (7+),"Данный курс отлично подходитдля ребят, не имеющих навыков работы за компьютером. Узнаем из чего состоит компьютер,как его включать/выключать и перезагружать. Учимся работать в текстовом редакторе и программе для создания презентаций"
РИСОВАНИЕ И АНИМАЦИЯ В 2D (8+),"Знакомимся с основами векторной графики и 2D-анимации, учимся работать в программах Inkscape и  Synfig studio. Изучаем техники анимации, и даже рисуем принт для футболки.
В конце курса создаем  мультфильм с самостоятельно нарисованными героями."
Создание игр в CONSTRUCT-3 (9+),"Учимся работать с платформой  Construct-3. Узнаем, как добавлять в игру готовые картинки, а также создаем свои изображения в технике Pixel Art.  Знакомимся с понятием «переменная».  С помощью визуального программирования создаём множество компьютерных 2D-игр ."
Робототехника TETRA (9+),"Создаем собственные умные электронные устройства на плате TETRA (подключая различные модули: кнопки, сенсоры, моторы, светодиоды, датчики, пищалки и многое другое), а также программируем их на выполнение задуманного алгоритма."
Видеоблогинг и монтаж (10+),"Знакомимся с основными жанрами видеоблогов в Youtube и осваиваем главные правила съемки и монтажа видео. Никакого дорогостоящего оборудования: мы будем снимать на телефоны и портативные камеры, а монтировать ролики научимся в бесплатной онлайн-программе Kapwing на компьютере!"
3D-моделирование (10+),"Учимся 3D-моделированию и проектированию различны изделий в популярных программах- TinkerCad и ScetchUp, распечатываем их на принтере и собираем свои устройства- робота или манипулятор!"
Разработка для мобильных (10+),"Знакомимся с онлайн средой для разработки приложений- AppInventor, учимся строить алгоритмы, изучаем компоненты программы. На каждом занятии создаем игры и приложения, которые тестируем на смартфонах и с помощью эмулятора."
Разработка игр на UNITY (12+),"Создаем 3D-игры на движке Unity, учимся настраивать реалистичные локации, управлять освещением и звуками, а также моделировать 3D-объекты для игр и добавлять персонажей."
Радиокружок (12+),"Знакомимся с основными понятиями радиоэлектроники, собирая электронные устройства. Осваиваем в теории и на практике способы монтажа, методы проектирования и отладки радиоэлектронных устройств."
Программирование PYTHON (12+),"Знакомимся с основами языка программирования- Python. Работаем с понятиями «переменные», «типы данных» и «циклы». Создаем интересные проекты."
Робототехника ARDUINO (12+),Знакомимся с широкой элементной базой и выполняем множество практических упражнений с применением радиоэлектронных компонентов. Изучаем основы языка C++. Создаем портативную игровую консоль с игрой PING-PONG.
Программирование ДЛЯ ANDROID НА ЯЗЫКЕ KOTLIN (12+),"Знакомимся с языком, изучаем основы объектно-ориентрованного программирования, знакомимся с такими понятиями как ""переменная"", ""объект"", ""класс"", учимся создавать макеты экранов приложений, тестировать их на мобильном устройстве и эмуляторе."
Программирование на JAVA (13+),Создаем 2D-игры и настольные приложения на языке JAVA в среде разработки Eclipse. Разрабатываем свой интернет-магазин и другие крупные проекты.
Системное администрирование (14+),Изучаем составные части ПК и собираем его. Устанавливаем ОС и драйвера. Подключаем ПК к проводной сети и настраиваем беспроводную wi-fi сеть. Устраняем неполадки в работе компьютера.
WEB-разработка (14+),Изучаем принципы и последние тенденции мира web-разработки. Учимся создавать многостраничные сайты и web-приложения с современным дизайном.
3D-анимация в Blender (14+),Знакомимся с основными принципами 3D анимации в программе Blender. Учимся применять на практике 12 принципов анимации Уолта Диснея. Создаем итоговый проект – анимацию с индивидуальным сюжетом.
Программирование в 1С (14+),Знакомимся с платформой 1С на примере разработки игр и полезных приложений. Публикуем игры и приложения на web-сервере и разрабатываем мобильные приложения.
